,country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,temp,code
0,Afghanistan,90.2,10.0,7.58,44.9,1610,9.44,56.2,5.82,553,12.92,AFG
1,Albania,16.6,28.0,6.55,48.6,9930,4.49,76.3,1.65,4090,11.27,ALB
2,Algeria,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460,22.58,DZA
3,Angola,119.0,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530,21.51,AGO
4,Argentina,14.5,18.9,8.1,16.0,18700,20.9,75.8,2.37,10300,14.22,ARG
5,Armenia,18.1,20.8,4.4,45.3,6700,7.77,73.3,1.69,3220,6.37,ARM
6,Australia,4.8,19.8,8.73,20.9,41400,1.16,82.0,1.93,51900,21.51,AUS
7,Austria,4.3,51.3,11.0,47.8,43200,0.873,80.5,1.44,46900,6.19,AUT
8,Azerbaijan,39.2,54.3,5.88,20.7,16000,13.8,69.1,1.92,5840,12.22,AZE
9,Bahamas,13.8,35.0,7.89,43.7,22900,-0.39299999999999996,73.8,1.86,28000,25.06,BHS
10,Bangladesh,49.4,16.0,3.52,21.8,2440,7.14,70.4,2.33,758,25.47,BGD
11,Belarus,5.5,51.4,5.61,64.5,16200,15.1,70.4,1.49,6030,6.29,BLR
12,Belgium,4.5,76.4,10.7,74.7,41100,1.88,80.0,1.86,44400,9.51,BEL
13,Belize,18.8,58.2,5.2,57.5,7880,1.14,71.4,2.71,4340,25.06,BLZ
14,Benin,111.0,23.8,4.1,37.2,1820,0.885,61.8,5.36,758,27.46,BEN
15,Bhutan,42.7,42.5,5.2,70.7,6420,5.99,72.1,2.38,2180,8.58,BTN
16,Bosnia and Herzegovina,6.9,29.7,11.1,51.3,9720,1.4,76.8,1.31,4610,9.02,BIH
17,Botswana,52.5,43.6,8.3,51.3,13300,8.92,57.1,2.88,6350,21.48,BWA
18,Brazil,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200,24.92,BRA
19,Bulgaria,10.8,50.2,6.87,53.0,15300,1.11,73.9,1.57,6840,10.4,BGR
20,Burkina Faso,116.0,19.2,6.74,29.6,1430,6.81,57.9,5.87,575,28.18,BFA
21,Burundi,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231,20.27,BDI
